fuente,L,arm,p,seed,primaria,ber_test,ber_test_final,ber_test_bnfix,ber_val,mejor_step,ber_top90,ber_top50,ber_tapados
lowdim,70,ladder_random,0.1,1,False,0.1394646018743515,0.13947300612926483,0.1394595056772232,0.13915850222110748,30000,0.1055067777633667,0.02019200101494789,0.1678392714171337
lowdim,70,ladder_random,0.25,1,False,0.14221230149269104,0.14219270646572113,0.14220160245895386,0.14213870465755463,28500,0.10846389085054398,0.021558599546551704,0.175929540734263
lowdim,70,stacked_rbm,0.0,1,False,0.1149435043334961,0.11502600461244583,nan,0.11494900286197662,29250,0.0799742266535759,0.0098860003054142,nan
lowdim,70,stacked_rbm,0.1,1,False,0.11376330256462097,0.11380670219659805,0.11380710452795029,0.11359730362892151,29250,0.07867644727230072,0.009077999740839005,0.14675540432345877
lowdim,70,stacked_rbm,0.25,1,False,0.1160942018032074,0.11610740423202515,0.1165510043501854,0.11602269858121872,28500,0.08104266971349716,0.009801600128412247,0.15204991665475448
lowdim,35,ladder_random,0.0,1,False,0.2521679997444153,0.2521224915981293,nan,0.2523918151855469,29250,0.22740033268928528,0.12843739986419678,nan
lowdim,35,ladder_random,0.1,1,False,0.24453529715538025,0.24453550577163696,0.24455280601978302,0.24459309875965118,30000,0.21903856098651886,0.11893520504236221,0.2633486789431545
lowdim,35,ladder_random,0.25,1,False,0.25247591733932495,0.2524821162223816,0.25245991349220276,0.25230979919433594,30000,0.22771145403385162,0.1286648064851761,0.269323864448558
lowdim,35,stacked_rbm,0.0,1,False,0.19053199887275696,0.19712530076503754,nan,0.1903710961341858,5250,0.16024233400821686,0.05961740016937256,nan
lowdim,35,stacked_rbm,0.1,1,False,0.18992720544338226,0.19180920720100403,0.19019460678100586,0.18969149887561798,5250,0.15964411199092865,0.05900900065898895,0.21536829463570856
lowdim,35,stacked_rbm,0.25,1,False,0.18910600244998932,0.18947149813175201,0.18960809707641602,0.18850840628147125,25500,0.1588210016489029,0.05869020149111748,0.2219518123136344
lowdim,250,ladder_random,0.0,2,False,0.03821580111980438,0.038154300302267075,nan,0.0381183996796608,26250,0.010193999856710434,5.560000136028975e-05,nan
lowdim,250,ladder_random,0.1,2,False,0.03438670188188553,0.034381601959466934,0.03437339887022972,0.03443409875035286,28500,0.0076437778770923615,1.140000040322775e-05,0.11269125166729659
lowdim,250,ladder_random,0.25,2,False,0.03986290097236633,0.03988189995288849,0.039883099496364594,0.03991590067744255,27000,0.010964666493237019,2.4400000256719068e-05,0.10740411132865231
lowdim,250,stacked_rbm,0.0,2,False,0.037361498922109604,0.03739500045776367,nan,0.03736789897084236,29250,0.00957744475454092,3.859999924316071e-05,nan
lowdim,250,stacked_rbm,0.1,2,False,0.034705501049757004,0.034705501049757004,0.03472340106964111,0.034739900380373,30000,0.007824555970728397,1.5400000847876072e-05,0.11299321482779101
lowdim,250,stacked_rbm,0.25,2,False,0.040063802152872086,0.04006990045309067,0.040053900331258774,0.04013200104236603,27750,0.011087444610893726,3.199999991920777e-05,0.10784368231696707
lowdim,125,ladder_random,0.0,2,False,0.08754999935626984,0.08757060021162033,nan,0.08768310397863388,29250,0.052261777222156525,0.002876600017771125,nan
lowdim,125,ladder_random,0.1,2,False,0.0868310034275055,0.0868310034275055,0.08683639764785767,0.08675940334796906,30000,0.05133022367954254,0.0024449999909847975,0.12451980858335283
lowdim,125,ladder_random,0.25,2,False,0.0853084996342659,0.0853084996342659,0.08533240109682083,0.08502770215272903,30000,0.049916334450244904,0.0022287999745458364,0.12945705583431494
lowdim,125,stacked_rbm,0.0,2,False,0.07025480270385742,0.07016120105981827,nan,0.07034099847078323,27750,0.03554833307862282,0.000909399997908622,nan
lowdim,125,stacked_rbm,0.1,2,False,0.07003970444202423,0.0700531005859375,0.07006890326738358,0.07020200043916702,29250,0.035469889640808105,0.0008410000009462237,0.11781762624959755
lowdim,125,stacked_rbm,0.25,2,False,0.07615580409765244,0.0761381983757019,0.076145701110363,0.076283298432827,28500,0.04123711213469505,0.001321400050073862,0.12398141722646305
lowdim,70,ladder_random,0.0,2,False,0.1366066038608551,0.13660989701747894,nan,0.13650670647621155,30000,0.10250100493431091,0.018571600317955017,nan
lowdim,70,ladder_random,0.1,2,False,0.13961240649223328,0.13960939645767212,0.13962310552597046,0.13958969712257385,30000,0.1056874468922615,0.020266801118850708,0.16893039049235994
lowdim,70,ladder_random,0.25,2,False,0.14617469906806946,0.14616890251636505,0.1461879014968872,0.14611370861530304,30000,0.1126197800040245,0.02410680055618286,0.17893419034343733
lowdim,70,stacked_rbm,0.0,2,False,0.11327440291643143,0.1132768988609314,nan,0.11310020089149475,30000,0.07821989059448242,0.009119200520217419,nan
