fuente,seed,L,rate,p,modo,vara,ber_test,ber_test_final,ber_test_bnfix,ber_val,mejor_step,ber_top90,ber_top50,ber_tapados
markov,3,250,0.5,0.0,mask,0.025,0.013569300062954426,0.013569300062954426,nan,0.01354300044476986,30000,0.0015657778130844235,0.00017919999663718045,nan
markov,3,250,0.5,0.1,mask,0.025,0.014248600229620934,0.014243099838495255,0.014239700511097908,0.014258500188589096,29250,0.001660666661337018,0.0001849999971454963,0.07421251679880897
markov,3,250,0.5,0.25,mask,0.025,0.021560899913311005,0.021555399522185326,0.021560799330472946,0.02153719961643219,28500,0.003369666635990143,0.00037799999699927866,0.0733673397571244
markov,3,250,0.5,0.5,mask,0.025,0.026371700689196587,0.026371700689196587,0.02637230046093464,0.026341000571846962,30000,0.007246777880936861,0.0007610000320710242,0.08379736357510892
markov,3,70,0.14,0.0,mask,0.091,0.1025451049208641,0.10295480489730835,nan,0.10274810343980789,27750,0.06598377972841263,0.01820960082113743,nan
markov,3,70,0.14,0.1,mask,0.091,0.10208280384540558,0.10208380222320557,0.10113050043582916,0.10227770358324051,27750,0.06603222340345383,0.021666400134563446,0.12135109885443364
markov,3,70,0.14,0.25,mask,0.091,0.10028260201215744,0.1005726009607315,0.0997036024928093,0.10061030089855194,29250,0.06575966626405716,0.024391600862145424,0.11805475578077214
markov,3,70,0.14,0.5,mask,0.091,0.10545779764652252,0.10547710210084915,0.10529020428657532,0.10565770417451859,27750,0.07310344278812408,0.029316000640392303,0.12087406302547052
random,0,250,0.5,0.0,mask,0.2536,0.2476648986339569,0.2864532172679901,nan,0.2475389987230301,1500,0.22259066998958588,0.12702520191669464,nan
random,0,250,0.5,0.1,mask,0.2536,0.2476172000169754,0.28454309701919556,0.24759790301322937,0.2476319968700409,1500,0.22261178493499756,0.1272311955690384,0.500176142322997
random,0,250,0.5,0.25,mask,0.2536,0.24771030247211456,0.28356030583381653,0.2477577030658722,0.2478027045726776,1500,0.2227896749973297,0.1274380087852478,0.49968276635732223
random,0,250,0.5,0.5,mask,0.2536,0.24807919561862946,0.2790985107421875,0.24808269739151,0.24800530076026917,1500,0.223096564412117,0.1275711953639984,0.4995822582946493
random,1,250,0.5,0.0,mask,0.2536,0.24779459834098816,0.2835861146450043,nan,0.24776610732078552,1500,0.22268745303153992,0.12698620557785034,nan
random,1,250,0.5,0.1,mask,0.2536,0.24781180918216705,0.2805604934692383,0.2477875053882599,0.24767480790615082,1500,0.2227557748556137,0.12695619463920593,0.49991393114491595
random,1,250,0.5,0.25,mask,0.2536,0.2479892075061798,0.28266671299934387,0.24799410998821259,0.24786579608917236,1500,0.22290077805519104,0.12713660299777985,0.5001639677061699
random,1,250,0.5,0.5,mask,0.2536,0.24804669618606567,0.27892929315567017,0.2480597048997879,0.24815990030765533,1500,0.22298544645309448,0.12765419483184814,0.499887645166643
random,2,250,0.5,0.0,mask,0.2536,0.24777370691299438,0.2846912145614624,nan,0.24762339890003204,1500,0.22271455824375153,0.12698839604854584,nan
